id,salary,yearsdg,rank,gender,yearsdgrank,yearsdggender
174,4.2,6,0,0,0,0
175,4,10,0,0,0,0
176,5.01,10,0,0,0,0
177,3.83,7,0,0,0,0
178,5.54,8,0,0,0,0
179,3.75,6,0,0,0,0
180,4.1,14,0,0,0,0
181,4.25,9,0,0,0,0
182,4.53,22,0,0,0,0
183,4.5,20,0,0,0,0
184,4.55,26,0,0,0,0
185,5.51,23,0,0,0,0
186,5.99,6,0,0,0,0
187,4.17,14,0,0,0,0
188,6.34,21,0,0,0,0
189,5.95,20,0,0,0,0
190,4.27,10,0,0,0,0
191,3.38,12,0,0,0,0
192,4.73,13,0,0,0,0
193,5.58,14,0,0,0,0
194,4.83,27,0,0,0,0
195,6.89,31,1,0,31,0
196,5.6,14,1,0,14,0
197,6.6,27,1,0,27,0
198,7.54,21,1,0,21,0
199,6.48,20,1,0,20,0
200,7.9,31,1,0,31,0
201,5.45,10,1,0,10,0
202,6.57,22,1,0,22,0
203,5.32,22,1,0,22,0
204,9.62,32,1,0,32,0
205,6.89,23,1,0,23,0
206,5.63,26,1,0,26,0
207,5.98,25,1,0,25,0
208,5.64,23,1,0,23,0
209,6.67,26,1,0,26,0
210,5.43,24,1,0,24,0
211,5.8,25,1,0,25,0
212,5.37,23,1,0,23,0
213,5.44,37,1,0,37,0
214,6.18,25,1,0,25,0
215,7.54,24,1,0,24,0
216,5.12,19,1,0,19,0
217,5.67,20,1,0,20,0
218,6.12,27,1,0,27,0
219,7.01,22,1,0,22,0
220,6.23,29,1,0,29,0
221,5.61,18,1,0,18,0
222,6.09,26,1,0,26,0
223,5.11,25,1,0,25,0
224,5.3,18,1,0,18,0
225,5.19,19,1,0,19,0
226,6.73,24,1,0,24,0
227,5.59,26,1,0,26,0
228,6.34,29,1,0,29,0
229,6.22,25,1,0,25,0
230,4.5,13,1,0,13,0
231,5.5,22,1,0,22,0
232,5.47,23,1,0,23,0
233,6.49,27,1,0,27,0
234,5.2,27,1,0,27,0
235,7.42,28,1,0,28,0
236,6.21,23,1,0,23,0
237,6.62,17,1,0,17,0
238,4.89,12,1,0,12,0
239,5.64,20,1,0,20,0
240,4.52,26,1,0,26,0
241,8.08,20,1,0,20,0
242,5.42,24,1,0,24,0
243,6.22,24,1,0,24,0
244,5.89,24,1,0,24,0
245,6.32,22,1,0,22,0
246,6.42,22,1,0,22,0
247,4.66,15,1,0,15,0
248,6.41,37,1,0,37,0
249,6.49,22,1,0,22,0
250,6.07,22,1,0,22,0
251,5.69,24,1,0,24,0
252,8.25,31,1,0,31,0
253,4.99,15,1,0,15,0
254,5.69,21,1,0,21,0
255,7.87,25,1,0,25,0
256,6.94,23,1,0,23,0
257,9.14,23,1,0,23,0
258,5.4,16,1,0,16,0
259,5.76,23,1,0,23,0
260,6.55,24,1,0,24,0
261,8.29,28,1,0,28,0
262,6.58,25,1,0,25,0
263,6.22,21,1,0,21,0
264,5.64,23,1,0,23,0
265,9.01,32,1,0,32,0
266,6.66,19,1,0,19,0
267,4.71,22,1,0,22,0
268,6.4,28,1,0,28,0
269,4.11,11,1,0,11,0
270,6.97,31,1,0,31,0
271,7.43,24,1,0,24,0
272,5.55,21,1,0,21,0
273,6.59,25,1,0,25,0
274,6.31,41,1,0,41,0
275,6.98,30,1,0,30,0
276,5.42,15,1,0,15,0
277,7.16,30,1,0,30,0
278,6.87,23,1,0,23,0
279,5.33,22,1,0,22,0
280,6.12,23,1,0,23,0
281,7.25,36,1,0,36,0
282,7.61,17,1,0,17,0
283,7.11,30,1,0,30,0
284,7.36,18,1,0,18,0
285,6.54,23,1,0,23,0
286,6.02,16,1,0,16,0
287,6.63,30,1,0,30,0
288,5.94,24,1,0,24,0
289,7.22,33,1,0,33,0
290,5.58,28,1,0,28,0
291,7.05,25,1,0,25,0
292,6.4,22,1,0,22,0
293,6.28,28,1,0,28,0
294,6.81,27,1,0,27,0
295,6.52,26,1,0,26,0
296,6.81,35,1,0,35,0
297,5.81,26,1,0,26,0
298,6.84,17,1,0,17,0
299,5.16,18,1,0,18,0
300,5.66,24,1,0,24,0
301,5.9,21,1,0,21,0
302,4.58,22,1,0,22,0
303,4.98,22,1,0,22,0
304,5.17,31,1,0,31,0
305,4.66,18,1,0,18,0
306,5.26,19,1,0,19,0
307,5.49,23,1,0,23,0
308,8.32,30,1,0,30,0
309,6.13,22,1,0,22,0
310,6.35,28,1,0,28,0
311,6.03,28,1,0,28,0
312,6.26,28,1,0,28,0
313,6.65,16,1,0,16,0
314,6.38,22,1,0,22,0
315,6.65,24,1,0,24,0
316,5.42,16,1,0,16,0
317,6.01,18,1,0,18,0
318,6.47,22,1,0,22,0
319,6.25,33,1,0,33,0
320,5.85,15,1,0,15,0
321,5.94,27,1,0,27,0
322,7.56,29,1,0,29,0
323,7.16,18,1,0,18,0
324,5.02,20,1,0,20,0
325,5.26,24,1,0,24,0
326,5.43,22,1,0,22,0
327,6.12,27,1,0,27,0
328,5.95,22,1,0,22,0
329,6.41,10,1,0,10,0
330,6.71,23,1,0,23,0
331,4.7,18,1,0,18,0
332,6.38,25,1,0,25,0
333,7.04,22,1,0,22,0
334,5.29,23,1,0,23,0
335,5.87,22,1,0,22,0
336,8.01,26,1,0,26,0
337,6.31,32,1,0,32,0
338,5.21,14,1,0,14,0
339,7,28,1,0,28,0
340,5.18,26,1,0,26,0
341,4.94,9,1,0,9,0
342,4.3,15,1,0,15,0
343,6.61,28,1,0,28,0
344,6.68,21,1,0,21,0
345,5.85,21,1,0,21,0
346,6.24,24,1,0,24,0
347,6.33,27,1,0,27,0
348,7.18,23,1,0,23,0
349,5.26,29,1,0,29,0
350,5.17,14,1,0,14,0
351,6.72,27,1,0,27,0
352,7.15,20,1,0,20,0
353,4.94,16,1,0,16,0
354,4.83,15,1,0,15,0
355,8.01,31,1,0,31,0
356,6.07,17,1,0,17,0
357,5.22,22,1,0,22,0
358,6.13,28,1,0,28,0
359,5.64,25,1,0,25,0
360,5.6,24,1,0,24,0
361,6.76,20,1,0,20,0
362,8.98,33,1,0,33,0
363,7.18,27,1,0,27,0
364,4.8,15,1,0,15,0
365,5.48,23,1,0,23,0
366,5.22,21,1,0,21,0
367,4.32,14,1,0,14,0
368,6.41,31,1,0,31,0
369,7.32,37,1,0,37,0
370,6.49,23,1,0,23,0
371,6.07,22,1,0,22,0
372,7.37,22,1,0,22,0
373,6.05,28,1,0,28,0
374,6.11,24,1,0,24,0
375,5.54,22,1,0,22,0
376,6.26,23,1,0,23,0
377,5.72,16,1,0,16,0
378,6,20,1,0,20,0
379,5.27,28,1,0,28,0
380,5.37,26,1,0,26,0
381,7.06,33,1,0,33,0
382,6.47,21,1,0,21,0
383,5.72,25,1,0,25,0
384,5.4,20,1,0,20,0
385,5.55,28,1,0,28,0
386,5.8,21,1,0,21,0
387,3.89,18,0,1,0,18
388,3,8,0,1,0,8
389,4.73,3,0,1,0,3
390,3.95,5,0,1,0,5
391,3.2,2,0,1,0,2
392,4.63,2,0,1,0,2
393,3.68,10,0,1,0,10
394,4.81,13,0,1,0,13
395,3.68,3,0,1,0,3
396,3.37,1,0,1,0,1
397,3.74,9,0,1,0,9
398,3,0,0,1,0,0
399,3.63,1,0,1,0,1
400,3.37,1,0,1,0,1
401,3.42,5,0,1,0,5
402,3.76,11,0,1,0,11
403,3.42,6,0,1,0,6
404,4.64,16,0,1,0,16
405,5.9,0,0,1,0,0
406,3.42,6,0,1,0,6
407,3.66,4,0,1,0,4
408,3.42,3,0,1,0,3
409,3.16,3,0,1,0,3
410,5.6,1,0,1,0,1
411,3.47,1,0,1,0,1
412,3.37,3,0,1,0,3
413,4.1,10,0,1,0,10
414,4.06,11,0,1,0,11
415,3.3,11,0,1,0,11
416,5.52,6,0,1,0,6
417,3.53,7,0,1,0,7
418,4.35,6,0,1,0,6
419,3.1,2,0,1,0,2
420,3.5,1,0,1,0,1
421,3.1,0,0,1,0,0
422,4.5,20,0,1,0,20
423,3.29,6,0,1,0,6
424,3.42,6,0,1,0,6
425,4,3,0,1,0,3
426,3.38,0,0,1,0,0
427,3.46,4,0,1,0,4
428,3.07,3,0,1,0,3
429,3.2,13,0,1,0,13
430,3.81,6,0,1,0,6
431,3.6,1,0,1,0,1
432,3.1,0,0,1,0,0
433,3.38,2,0,1,0,2
434,3.63,21,0,1,0,21
435,3.68,1,0,1,0,1
436,3.37,2,0,1,0,2
437,3.5,0,0,1,0,0
438,4.04,4,0,1,0,4
439,3.56,4,0,1,0,4
440,3.74,1,0,1,0,1
441,5.58,2,0,1,0,2
442,3.42,5,0,1,0,5
443,4.11,19,0,1,0,19
444,3.58,2,0,1,0,2
445,3.2,7,0,1,0,7
446,3.47,1,0,1,0,1
447,3.84,14,0,1,0,14
448,4.2,9,0,1,0,9
449,4.87,19,0,1,0,19
450,4.4,16,0,1,0,16
451,3.69,6,0,1,0,6
452,4.57,20,0,1,0,20
453,4.04,4,0,1,0,4
454,3.84,11,0,1,0,11
455,3.65,9,0,1,0,9
456,3.77,8,0,1,0,8
457,6.35,10,0,1,0,10
458,5.07,17,0,1,0,17
459,4.58,15,0,1,0,15
460,3.96,16,0,1,0,16
461,4.68,23,0,1,0,23
462,4.44,19,0,1,0,19
463,4.4,16,0,1,0,16
464,4.74,16,0,1,0,16
465,3.65,6,0,1,0,6
466,4.95,12,0,1,0,12
467,3.96,12,0,1,0,12
468,4.19,8,0,1,0,8
469,6.97,17,0,1,0,17
470,5.62,6,0,1,0,6
471,4.59,23,0,1,0,23
472,5.03,21,0,1,0,21
473,3.5,17,0,1,0,17
474,3.86,12,0,1,0,12
475,4.39,17,0,1,0,17
476,4.78,16,0,1,0,16
477,4.26,10,0,1,0,10
478,3.7,12,0,1,0,12
479,5.28,16,0,1,0,16
480,5.76,10,0,1,0,10
481,4.68,10,0,1,0,10
482,4.28,16,0,1,0,16
483,5.89,10,0,1,0,10
484,3.99,6,0,1,0,6
485,3.97,9,0,1,0,9
486,4.16,9,0,1,0,9
487,3.88,10,0,1,0,10
488,4.58,10,0,1,0,10
489,3.95,6,0,1,0,6
490,6,5,0,1,0,5
491,4.21,9,0,1,0,9
492,4.13,14,0,1,0,14
493,3.37,7,0,1,0,7
494,5,16,0,1,0,16
495,3.71,12,0,1,0,12
496,5.16,17,1,1,17,17
497,5.32,26,1,1,26,26
498,5.2,21,1,1,21,21
499,5.07,19,1,1,19,19
500,4.85,13,1,1,13,13
501,6.04,25,1,1,25,25
502,5.85,19,1,1,19,19
503,4.88,21,1,1,21,21
504,5.24,19,1,1,19,19
505,4.87,15,1,1,15,15
506,5.65,28,1,1,28,28
507,4.77,16,1,1,16,16
508,6.48,23,1,1,23,23
509,5.88,23,1,1,23,23
510,5.24,24,1,1,24,24
511,6.37,18,1,1,18,18
512,6.21,16,1,1,16,16
513,5.27,38,1,1,38,38
514,6.07,18,1,1,18,18
